election_cycle,election_day,cc_conference_start_date,cc_conference_end_date,dgm_conference_start_date,dgm_conference_end_date,pdal_conference_start_date,pdal_conference_end_date,ssp_conference_start_date,ssp_conference_end_date,debate_date_1,debate_date_2,debate_date_3
1984,1984-06-17,1984-04-28,1984-04-30,1984-05-12,1984-05-14,1984-05-05,1984-05-07,1984-04-21,1984-04-23,1984-05-18,1984-05-28,1984-06-07
1985,1985-06-16,1985-04-27,1985-04-29,1985-05-11,1985-05-13,1985-05-04,1985-05-06,1985-04-20,1985-04-22,1985-05-17,1985-05-27,1985-06-06
1986,1986-06-15,1986-04-26,1986-04-28,1986-05-10,1986-05-12,1986-05-03,1986-05-05,1986-04-19,1986-04-21,1986-05-16,1986-05-26,1986-06-05
1987,1987-06-14,1987-04-25,1987-04-27,1987-05-09,1987-05-11,1987-05-02,1987-05-04,1987-04-18,1987-04-20,1987-05-15,1987-05-25,1987-06-04
1988,1988-06-19,1988-04-30,1988-05-02,1988-05-14,1988-05-16,1988-05-07,1988-05-09,1988-04-23,1988-04-25,1988-05-20,1988-05-30,1988-06-09
1989,1989-06-18,1989-04-29,1989-05-01,1989-05-13,1989-05-15,1989-05-06,1989-05-08,1989-04-22,1989-04-24,1989-05-19,1989-05-29,1989-06-08
1990,1990-06-17,1990-04-28,1990-04-30,1990-05-12,1990-05-14,1990-05-05,1990-05-07,1990-04-21,1990-04-23,1990-05-18,1990-05-28,1990-06-07
1991,1991-06-16,1991-04-27,1991-04-29,1991-05-11,1991-05-13,1991-05-04,1991-05-06,1991-04-20,1991-04-22,1991-05-17,1991-05-27,1991-06-06
1992,1992-06-14,1992-04-25,1992-04-27,1992-05-09,1992-05-11,1992-05-02,1992-05-04,1992-04-18,1992-04-20,1992-05-15,1992-05-25,1992-06-04
1993,1993-06-20,1993-05-01,1993-05-03,1993-05-15,1993-05-17,1993-05-08,1993-05-10,1993-04-24,1993-04-26,1993-05-21,1993-05-31,1993-06-10
1994,1994-06-19,1994-04-30,1994-05-02,1994-05-14,1994-05-16,1994-05-07,1994-05-09,1994-04-23,1994-04-25,1994-05-20,1994-05-30,1994-06-09
1995,1995-06-18,1995-04-29,1995-05-01,1995-05-13,1995-05-15,1995-05-06,1995-05-08,1995-04-22,1995-04-24,1995-05-19,1995-05-29,1995-06-08
1996,1996-06-16,1996-04-27,1996-04-29,1996-05-11,1996-05-13,1996-05-04,1996-05-06,1996-04-20,1996-04-22,1996-05-17,1996-05-27,1996-06-06
1997,1997-06-15,1997-04-26,1997-04-28,1997-05-10,1997-05-12,1997-05-03,1997-05-05,1997-04-19,1997-04-21,1997-05-16,1997-05-26,1997-06-05
1998,1998-06-14,1998-04-25,1998-04-27,1998-05-09,1998-05-11,1998-05-02,1998-05-04,1998-04-18,1998-04-20,1998-05-15,1998-05-25,1998-06-04
1999,1999-06-20,1999-05-01,1999-05-03,1999-05-15,1999-05-17,1999-05-08,1999-05-10,1999-04-24,1999-04-26,1999-05-21,1999-05-31,1999-06-10
2000,2000-06-18,2000-04-29,2000-05-01,2000-05-13,2000-05-15,2000-05-06,2000-05-08,2000-04-22,2000-04-24,2000-05-19,2000-05-29,2000-06-08
2001,2001-06-17,2001-04-28,2001-04-30,2001-05-12,2001-05-14,2001-05-05,2001-05-07,2001-04-21,2001-04-23,2001-05-18,2001-05-28,2001-06-07
2002,2002-06-16,2002-04-27,2002-04-29,2002-05-11,2002-05-13,2002-05-04,2002-05-06,2002-04-20,2002-04-22,2002-05-17,2002-05-27,2002-06-06
2003,2003-06-15,2003-04-26,2003-04-28,2003-05-10,2003-05-12,2003-05-03,2003-05-05,2003-04-19,2003-04-21,2003-05-16,2003-05-26,2003-06-05
2004,2004-06-20,2004-05-01,2004-05-03,2004-05-15,2004-05-17,2004-05-08,2004-05-10,2004-04-24,2004-04-26,2004-05-21,2004-05-31,2004-06-10
2005,2005-06-19,2005-04-30,2005-05-02,2005-05-14,2005-05-16,2005-05-07,2005-05-09,2005-04-23,2005-04-25,2005-05-20,2005-05-30,2005-06-09
2006,2006-06-18,2006-04-29,2006-05-01,2006-05-13,2006-05-15,2006-05-06,2006-05-08,2006-04-22,2006-04-24,2006-05-19,2006-05-29,2006-06-08
2007,2007-06-17,2007-04-28,2007-04-30,2007-05-12,2007-05-14,2007-05-05,2007-05-07,2007-04-21,2007-04-23,2007-05-18,2007-05-28,2007-06-07
2008,2008-06-15,2008-04-26,2008-04-28,2008-05-10,2008-05-12,2008-05-03,2008-05-05,2008-04-19,2008-04-21,2008-05-16,2008-05-26,2008-06-05
2009,2009-06-14,2009-04-25,2009-04-27,2009-05-09,2009-05-11,2009-05-02,2009-05-04,2009-04-18,2009-04-20,2009-05-15,2009-05-25,2009-06-04
2010,2010-06-20,2010-05-01,2010-05-03,2010-05-15,2010-05-17,2010-05-08,2010-05-10,2010-04-24,2010-04-26,2010-05-21,2010-05-31,2010-06-10
2011,2011-06-19,2011-04-30,2011-05-02,2011-05-14,2011-05-16,2011-05-07,2011-05-09,2011-04-23,2011-04-25,2011-05-20,2011-05-30,2011-06-09
2012,2012-06-17,2012-04-28,2012-04-30,2012-05-12,2012-05-14,2012-05-05,2012-05-07,2012-04-21,2012-04-23,2012-05-18,2012-05-28,2012-06-07
2013,2013-06-16,2013-04-27,2013-04-29,2013-05-11,2013-05-13,2013-05-04,2013-05-06,2013-04-20,2013-04-22,2013-05-17,2013-05-27,2013-06-06
2014,2014-06-15,2014-04-26,2014-04-28,2014-05-10,2014-05-12,2014-05-03,2014-05-05,2014-04-19,2014-04-21,2014-05-16,2014-05-26,2014-06-05
2015,2015-06-14,2015-04-25,2015-04-27,2015-05-09,2015-05-11,2015-05-02,2015-05-04,2015-04-18,2015-04-20,2015-05-15,2015-05-25,2015-06-04
2016,2016-06-19,2016-04-30,2016-05-02,2016-05-14,2016-05-16,2016-05-07,2016-05-09,2016-04-23,2016-04-25,2016-05-20,2016-05-30,2016-06-09
2017,2017-06-18,2017-04-29,2017-05-01,2017-05-13,2017-05-15,2017-05-06,2017-05-08,2017-04-22,2017-04-24,2017-05-19,2017-05-29,2017-06-08
2018,2018-06-17,2018-04-28,2018-04-30,2018-05-12,2018-05-14,2018-05-05,2018-05-07,2018-04-21,2018-04-23,2018-05-18,2018-05-28,2018-06-07
2019,2019-06-16,2019-04-27,2019-04-29,2019-05-11,2019-05-13,2019-05-04,2019-05-06,2019-04-20,2019-04-22,2019-05-17,2019-05-27,2019-06-06
2020,2020-06-14,2020-04-25,2020-04-27,2020-05-09,2020-05-11,2020-05-02,2020-05-04,2020-04-18,2020-04-20,2020-05-15,2020-05-25,2020-06-04
2021,2021-06-20,2021-05-01,2021-05-03,2021-05-15,2021-05-17,2021-05-08,2021-05-10,2021-04-24,2021-04-26,2021-05-21,2021-05-31,2021-06-10
2022,2022-06-19,2022-04-30,2022-05-02,2022-05-14,2022-05-16,2022-05-07,2022-05-09,2022-04-23,2022-04-25,2022-05-20,2022-05-30,2022-06-09
2023,2023-06-18,2023-04-29,2023-05-01,2023-05-13,2023-05-15,2023-05-06,2023-05-08,2023-04-22,2023-04-24,2023-05-19,2023-05-29,2023-06-08
2024,2024-06-16,2024-04-27,2024-04-29,2024-05-11,2024-05-13,2024-05-04,2024-05-06,2024-04-20,2024-04-22,2024-05-17,2024-05-27,2024-06-06
