scenario,year,date_conducted,date_published,pollster,geography,mode,sample_size,population_surveyed,sponsor,cc_poll_share,dgm_poll_share,pdal_poll_share,ssp_poll_share,undecided_poll_share
A,2024,2024-04-02,2024-04-03,Dataland Daily,National,Online,200,Adults,None,0.2,0.225,0.28,0.06,0.235
A,2024,2024-04-03,2024-04-04,Dataland Daily,National,Online,200,Adults,None,0.27,0.165,0.28,0.05,0.235
A,2024,2024-04-03,2024-04-05,Cobolite Coalition Calling,Synapse Territories,IVR,2000,RV,CC,0.2,0.195,0.204,0.226,0.175
A,2024,2024-04-05,2024-04-06,Dataland Daily,National,Online,200,Adults,None,0.275,0.2,0.245,0.065,0.215
A,2024,2024-04-04,2024-04-06,Dataland Daily,National,Online,200,Adults,None,0.235,0.25,0.315,0.065,0.135
A,2024,2024-04-06,2024-04-07,Dataland Daily,National,Online,200,Adults,None,0.19,0.2,0.34,0.055,0.215
A,2024,2024-04-05,2024-04-07,Progressive Polling,Cortexia,Live caller,1000,Adults,None,0.151,0.165,0.263,0.3,0.121
A,2024,2024-04-05,2024-04-07,Progressive Polling,Voltagea,Live caller,1000,Adults,None,0.14,0.212,0.478,0,0.17
A,2024,2024-04-07,2024-04-08,Dataland Daily,National,Online,200,Adults,None,0.23,0.23,0.29,0.02,0.23
A,2024,2024-04-08,2024-04-09,Cobolite Coalition Calling,Infoglen,IVR,2000,RV,CC,0.505,0.139,0.194,0,0.162
A,2024,2024-04-07,2024-04-09,Big Dataland Surveys,Circuit Confederation,Online,10000,RV,None,0.248,0.199,0.388,0,0.164
A,2024,2024-04-09,2024-04-10,No Province Left Behind,Binaryshire,IVR,500,RV,None,0.764,0.006,0.078,0,0.152
A,2024,2024-04-08,2024-04-10,Dataland Daily,National,Online,200,Adults,None,0.24,0.14,0.39,0.06,0.17
A,2024,2024-04-10,2024-04-11,Dataland Daily,National,Online,200,Adults,None,0.175,0.205,0.32,0.06,0.24
A,2024,2024-04-09,2024-04-11,Dataland Daily,National,Online,200,Adults,None,0.2,0.235,0.3,0.05,0.215
A,2024,2024-04-11,2024-04-12,Cobolite Coalition Calling,Metaflux Realm,IVR,2000,RV,CC,0.576,0.105,0.156,0,0.164
A,2024,2024-04-11,2024-04-12,Dataland Daily,National,Online,200,Adults,None,0.21,0.2,0.37,0.065,0.155
A,2024,2024-04-12,2024-04-13,Progressive Polling,Cerebrica,Live caller,1000,Adults,PDAL,0.261,0.279,0.271,0.071,0.118
A,2024,2024-04-12,2024-04-13,Dataland Daily,National,Online,200,Adults,None,0.28,0.155,0.23,0.05,0.285
A,2024,2024-04-13,2024-04-14,Dataland Daily,National,Online,200,Adults,None,0.295,0.19,0.25,0.04,0.225
A,2024,2024-04-15,2024-04-16,Dataland Daily,National,Online,200,Adults,None,0.22,0.175,0.395,0.04,0.17
A,2024,2024-04-14,2024-04-16,Dataland Daily,National,Online,200,Adults,None,0.255,0.19,0.335,0.05,0.17
A,2024,2024-04-17,2024-04-18,Dataland Daily,National,Online,200,Adults,None,0.31,0.185,0.245,0.06,0.2
A,2024,2024-04-16,2024-04-18,Progressive Polling,Cerebrica,Live caller,1000,Adults,None,0.281,0.265,0.239,0.057,0.158
A,2024,2024-04-16,2024-04-18,Dataland Daily,National,Online,200,Adults,None,0.24,0.23,0.285,0.015,0.23
A,2024,2024-04-18,2024-04-19,Dataland Daily,National,Online,200,Adults,None,0.195,0.265,0.29,0.09,0.16
A,2024,2024-04-20,2024-04-21,Dataland Daily,National,Online,200,Adults,None,0.27,0.245,0.245,0.08,0.16
A,2024,2024-04-20,2024-04-21,Synapse Strategies,Synapse Territories,Online,1000,RV,SSP,0.188,0.192,0.187,0.289,0.144
A,2024,2024-04-19,2024-04-21,Dataland Daily,National,Online,200,Adults,None,0.32,0.175,0.305,0.03,0.17
A,2024,2024-04-20,2024-04-22,Cobolite Coalition Calling,Neuronia,IVR,2000,RV,CC,0.06,0.132,0.105,0.517,0.186
A,2024,2024-04-21,2024-04-23,Dataland Daily,National,Online,200,Adults,None,0.25,0.2,0.29,0.07,0.19
A,2024,2024-04-21,2024-04-23,No Province Left Behind,Neuronia,IVR,500,RV,None,0.034,0.188,0.074,0.618,0.086
A,2024,2024-04-23,2024-04-24,Dataland Daily,National,Online,200,Adults,None,0.195,0.175,0.34,0.095,0.195
A,2024,2024-04-22,2024-04-24,Dataland Daily,National,Online,200,Adults,None,0.205,0.175,0.36,0.075,0.185
A,2024,2024-04-22,2024-04-24,Big Dataland Surveys,National,Online,10000,RV,None,0.265,0.224,0.294,0.059,0.158
A,2024,2024-04-23,2024-04-25,Conference Board of Dataland,Synapse Territories,Live caller,3000,LV,None,0.204,0.196,0.216,0.293,0.092
A,2024,2024-04-25,2024-04-26,Dataland Daily,National,Online,200,Adults,None,0.24,0.18,0.265,0.095,0.22
A,2024,2024-04-24,2024-04-26,Dataland Daily,National,Online,200,Adults,None,0.195,0.195,0.365,0.035,0.21
A,2024,2024-04-26,2024-04-27,Dataland Daily,National,Online,200,Adults,None,0.195,0.19,0.39,0.03,0.195
A,2024,2024-04-25,2024-04-27,Metaflux University,Binaryshire,IVR,1500,Adults,None,0.782,0.008,0.069,0,0.141
A,2024,2024-04-25,2024-04-27,Big Dataland Surveys,Metaflux Realm,Online,10000,RV,None,0.368,0.183,0.312,0,0.136
A,2024,2024-04-27,2024-04-28,Dataland Register-Gazette,Byteforge Domain,Live caller,1500,RV,None,0.412,0.053,0.422,0,0.113
A,2024,2024-04-27,2024-04-28,Dataland Register-Gazette,Cortexia,Live caller,1500,RV,None,0.161,0.185,0.237,0.316,0.102
A,2024,2024-04-26,2024-04-28,Progressive Polling,Byteforge Domain,Live caller,1000,Adults,None,0.363,0.057,0.483,0,0.097
A,2024,2024-04-28,2024-04-29,Proudly Paid For Polling,Amperville,Online,1000,RV,PDAL,0.06,0.108,0.74,0,0.092
A,2024,2024-04-28,2024-04-29,Dataland Daily,National,Online,200,Adults,None,0.235,0.23,0.305,0.075,0.155
A,2024,2024-04-28,2024-04-29,Proudly Paid For Polling,Synapse Territories,Online,1000,RV,DGM,0.165,0.269,0.205,0.228,0.133
A,2024,2024-04-27,2024-04-29,Dataland Daily,National,Online,200,Adults,None,0.205,0.205,0.335,0.12,0.135
A,2024,2024-04-27,2024-04-29,Dataland Register-Gazette,National,Live caller,1500,RV,None,0.268,0.181,0.323,0.083,0.144
A,2024,2024-04-29,2024-04-30,Dataland Daily,National,Online,200,Adults,None,0.17,0.255,0.31,0.055,0.21
A,2024,2024-04-28,2024-04-30,Proudly Paid For Polling,Circuit Confederation,Online,1000,RV,DGM,0.188,0.294,0.388,0,0.13
A,2024,2024-04-28,2024-04-30,Cobolite Coalition Calling,Electropolis,IVR,2000,RV,None,0.342,0.237,0.274,0,0.147
A,2024,2024-04-30,2024-05-01,Proudly Paid For Polling,Amperville,Online,1000,RV,PDAL,0.066,0.114,0.701,0,0.119
A,2024,2024-04-30,2024-05-01,Dataland Register-Gazette,Cortexia,Live caller,1500,RV,None,0.176,0.19,0.21,0.318,0.106
A,2024,2024-04-30,2024-05-01,Dataland Daily,National,Online,200,Adults,None,0.21,0.2,0.305,0.07,0.215
A,2024,2024-04-30,2024-05-01,Conference Board of Dataland,Synapse Territories,Live caller,3000,LV,None,0.233,0.2,0.204,0.245,0.118
A,2024,2024-04-29,2024-05-01,Proudly Paid For Polling,Cerebrica,Online,1000,RV,DGM,0.256,0.32,0.264,0.064,0.096
A,2024,2024-04-29,2024-05-01,Proudly Paid For Polling,National,Online,1000,RV,PDAL,0.255,0.23,0.37,0.056,0.089
A,2024,2024-05-01,2024-05-02,Proudly Paid For Polling,Circuit Confederation,Online,1000,RV,DGM,0.217,0.23,0.412,0,0.141
A,2024,2024-05-01,2024-05-02,Synapse Strategies,Cortexia,Online,1000,RV,None,0.168,0.188,0.23,0.305,0.109
A,2024,2024-05-01,2024-05-02,Dataland Register-Gazette,Metaflux Realm,Live caller,1500,RV,None,0.414,0.18,0.301,0,0.105
A,2024,2024-05-01,2024-05-02,Dataland Daily,National,Online,200,Adults,None,0.215,0.2,0.35,0.045,0.19
A,2024,2024-04-30,2024-05-02,Conference Board of Dataland,Circuit Confederation,Live caller,3000,LV,None,0.287,0.217,0.407,0,0.089
A,2024,2024-04-30,2024-05-02,Conference Board of Dataland,Metaflux Realm,Live caller,3000,LV,None,0.473,0.147,0.256,0,0.124
A,2024,2024-04-30,2024-05-02,Dataland Register-Gazette,Synapse Territories,Live caller,1500,RV,None,0.198,0.196,0.231,0.277,0.099
A,2024,2024-05-02,2024-05-03,Dataland Daily,National,Online,200,Adults,None,0.285,0.2,0.32,0.035,0.16
A,2024,2024-05-01,2024-05-03,No Province Left Behind,Infinitron Peninsula,IVR,500,RV,None,0.558,0.144,0.226,0,0.072
A,2024,2024-05-03,2024-05-04,Big Dataland Surveys,Circuit Confederation,Online,10000,RV,None,0.219,0.253,0.389,0,0.139
A,2024,2024-05-03,2024-05-04,Dataland Daily,National,Online,200,Adults,None,0.285,0.17,0.315,0.045,0.185
A,2024,2024-05-02,2024-05-04,Dataland Register-Gazette,Electropolis,Live caller,1500,RV,None,0.359,0.217,0.315,0,0.109
A,2024,2024-05-02,2024-05-04,Proudly Paid For Polling,Quantumridge,Online,1000,RV,PDAL,0.273,0.193,0.434,0,0.1
A,2024,2024-05-04,2024-05-05,Cobolite Coalition Calling,Byteforge Domain,IVR,2000,RV,CC,0.655,0.029,0.2,0,0.116
A,2024,2024-05-04,2024-05-05,Dataland Daily,National,Online,200,Adults,None,0.29,0.18,0.275,0.06,0.195
A,2024,2024-05-03,2024-05-05,Proudly Paid For Polling,Metaflux Realm,Online,1000,RV,PDAL,0.461,0.122,0.307,0,0.11
A,2024,2024-05-03,2024-05-05,Dataland Register-Gazette,Voltagea,Live caller,1500,RV,None,0.172,0.233,0.453,0,0.143
A,2024,2024-05-05,2024-05-06,No Province Left Behind,Infinitron Peninsula,IVR,500,RV,None,0.55,0.174,0.182,0,0.094
A,2024,2024-05-05,2024-05-06,Dataland Daily,National,Online,200,Adults,None,0.26,0.185,0.365,0.04,0.15
A,2024,2024-05-05,2024-05-06,Metaflux University,Quantumridge,IVR,1500,RV,None,0.295,0.219,0.367,0,0.119
A,2024,2024-05-05,2024-05-06,Dataland Register-Gazette,Voltagea,Live caller,1500,RV,None,0.157,0.237,0.541,0,0.065
A,2024,2024-05-04,2024-05-06,Proudly Paid For Polling,Cortexia,Online,1000,RV,DGM,0.173,0.228,0.185,0.293,0.121
A,2024,2024-05-04,2024-05-06,Metaflux University,Metaflux Realm,IVR,1500,RV,None,0.434,0.173,0.249,0,0.144
A,2024,2024-05-04,2024-05-06,Big Dataland Surveys,Synapse Territories,Online,10000,RV,None,0.195,0.21,0.237,0.262,0.097
A,2024,2024-05-06,2024-05-07,Cobolite Coalition Calling,Cortexia,IVR,2000,RV,CC,0.274,0.162,0.202,0.274,0.088
A,2024,2024-05-06,2024-05-07,Proudly Paid For Polling,Cortexia,Online,1000,RV,CC,0.202,0.181,0.2,0.309,0.108
A,2024,2024-05-06,2024-05-07,Dataland Daily,National,Online,200,Adults,None,0.2,0.21,0.325,0.05,0.215
A,2024,2024-05-06,2024-05-07,No Province Left Behind,Neuronia,IVR,500,RV,None,0.04,0.216,0.118,0.558,0.068
A,2024,2024-05-05,2024-05-07,Proudly Paid For Polling,Infinitron Peninsula,Online,1000,RV,DGM,0.583,0.183,0.162,0,0.072
A,2024,2024-05-05,2024-05-07,Proudly Paid For Polling,Synapse Territories,Online,1000,RV,DGM,0.22,0.282,0.195,0.214,0.089
A,2024,2024-05-07,2024-05-08,No Province Left Behind,Amperville,IVR,500,LV,None,0.078,0.144,0.716,0,0.062
A,2024,2024-05-07,2024-05-08,Conference Board of Dataland,Circuit Confederation,Live caller,3000,LV,None,0.233,0.207,0.477,0,0.084
A,2024,2024-05-07,2024-05-08,Dataland Daily,National,Online,200,Adults,None,0.25,0.2,0.365,0.025,0.16
A,2024,2024-05-07,2024-05-08,Conference Board of Dataland,Synapse Territories,Live caller,3000,LV,None,0.219,0.198,0.242,0.242,0.099
A,2024,2024-05-06,2024-05-08,Proudly Paid For Polling,Cerebrica,Online,1000,RV,DGM,0.306,0.292,0.222,0.061,0.119
A,2024,2024-05-08,2024-05-09,Dataland Register-Gazette,Cortexia,Live caller,1500,RV,None,0.143,0.199,0.254,0.313,0.092
A,2024,2024-05-08,2024-05-09,Dataland Register-Gazette,Infoglen,Live caller,1500,RV,None,0.35,0.235,0.299,0,0.116
A,2024,2024-05-08,2024-05-09,No Province Left Behind,Quantumridge,IVR,500,LV,None,0.24,0.236,0.474,0,0.05
A,2024,2024-05-08,2024-05-09,Proudly Paid For Polling,Synapse Territories,Online,1000,LV,DGM,0.2,0.252,0.228,0.261,0.059
A,2024,2024-05-07,2024-05-09,Proudly Paid For Polling,Binaryshire,Online,1000,LV,PDAL,0.787,0.007,0.101,0,0.105
A,2024,2024-05-07,2024-05-09,Conference Board of Dataland,Metaflux Realm,Live caller,3000,LV,None,0.427,0.155,0.308,0,0.11
A,2024,2024-05-07,2024-05-09,Cobolite Coalition Calling,National,IVR,2000,RV,CC,0.351,0.146,0.296,0.067,0.139
A,2024,2024-05-07,2024-05-09,Metaflux University,Quantumridge,IVR,1500,RV,None,0.284,0.233,0.362,0,0.121
A,2024,2024-05-09,2024-05-10,Dataland Register-Gazette,Cerebrica,Live caller,1500,RV,None,0.303,0.248,0.289,0.076,0.083
A,2024,2024-05-09,2024-05-10,Dataland Register-Gazette,Circuiton,Live caller,1500,RV,None,0.117,0.353,0.439,0,0.091
A,2024,2024-05-08,2024-05-10,Dataland Register-Gazette,Circuiton,Live caller,1500,RV,None,0.114,0.341,0.455,0,0.091
A,2024,2024-05-08,2024-05-10,Proudly Paid For Polling,Metaflux Realm,Online,1000,LV,PDAL,0.431,0.162,0.329,0,0.078
A,2024,2024-05-08,2024-05-10,Dataland Daily,National,Online,200,Adults,None,0.26,0.245,0.295,0.04,0.16
A,2024,2024-05-10,2024-05-11,Proudly Paid For Polling,Voltagea,Online,1000,LV,CC,0.188,0.22,0.521,0,0.071
A,2024,2024-05-09,2024-05-11,Metaflux University,Infinitron Peninsula,IVR,1500,RV,None,0.542,0.163,0.215,0,0.08
A,2024,2024-05-09,2024-05-11,Dataland Daily,National,Online,200,Adults,None,0.25,0.2,0.335,0.045,0.17
A,2024,2024-05-09,2024-05-11,No Province Left Behind,National,IVR,500,LV,None,0.312,0.23,0.296,0.054,0.108
A,2024,2024-05-11,2024-05-12,Dataland Register-Gazette,Cortexia,Live caller,1500,RV,None,0.164,0.171,0.251,0.346,0.068
A,2024,2024-05-11,2024-05-12,Proudly Paid For Polling,Synapse Territories,Online,1000,LV,PDAL,0.216,0.231,0.246,0.232,0.075
A,2024,2024-05-10,2024-05-12,Dataland Daily,National,Online,200,Adults,None,0.255,0.19,0.33,0.055,0.17
A,2024,2024-05-12,2024-05-13,Dataland Register-Gazette,Synapse Territories,Live caller,1500,RV,None,0.185,0.227,0.253,0.261,0.074
A,2024,2024-05-11,2024-05-13,Cobolite Coalition Calling,Cortexia,IVR,2000,RV,CC,0.21,0.178,0.203,0.3,0.109
A,2024,2024-05-11,2024-05-13,Dataland Daily,National,Online,200,Adults,None,0.23,0.19,0.36,0.08,0.14
A,2024,2024-05-11,2024-05-13,Dataland Register-Gazette,Synapse Territories,Live caller,1500,RV,None,0.207,0.233,0.232,0.253,0.075
A,2024,2024-05-11,2024-05-13,Big Dataland Surveys,Synapse Territories,Online,10000,RV,None,0.213,0.217,0.213,0.226,0.13
A,2024,2024-05-12,2024-05-14,Progressive Polling,Infoglen,Live caller,1000,Adults,PDAL,0.313,0.234,0.379,0,0.074
A,2024,2024-05-12,2024-05-14,Dataland Daily,National,Online,200,Adults,None,0.19,0.245,0.36,0.03,0.175
A,2024,2024-05-14,2024-05-15,Conference Board of Dataland,Circuit Confederation,Live caller,3000,LV,None,0.22,0.261,0.457,0,0.061
A,2024,2024-05-14,2024-05-15,Dataland Register-Gazette,Cortexia,Live caller,1500,RV,None,0.153,0.216,0.236,0.301,0.094
A,2024,2024-05-14,2024-05-15,Conference Board of Dataland,Metaflux Realm,Live caller,3000,LV,None,0.417,0.19,0.31,0,0.083
A,2024,2024-05-14,2024-05-15,Dataland Daily,National,Online,200,Adults,None,0.32,0.16,0.325,0.045,0.15
A,2024,2024-05-13,2024-05-15,Dataland Daily,National,Online,200,Adults,None,0.2,0.245,0.32,0.09,0.145
A,2024,2024-05-13,2024-05-15,Cobolite Coalition Calling,Voltagea,IVR,2000,RV,CC,0.206,0.192,0.516,0,0.084
A,2024,2024-05-15,2024-05-16,Synapse Strategies,Cerebrica,Online,1000,LV,SSP,0.331,0.291,0.24,0.08,0.058
A,2024,2024-05-15,2024-05-16,Dataland Daily,National,Online,200,Adults,None,0.2,0.25,0.305,0.065,0.18
A,2024,2024-05-15,2024-05-16,Synapse Strategies,Neuronia,Online,1000,LV,SSP,0.039,0.156,0.08,0.647,0.078
A,2024,2024-05-14,2024-05-16,Proudly Paid For Polling,Neuronia,Online,1000,LV,DGM,0.023,0.236,0.094,0.581,0.066
A,2024,2024-05-14,2024-05-16,Conference Board of Dataland,Synapse Territories,Live caller,3000,LV,None,0.201,0.224,0.236,0.266,0.072
A,2024,2024-05-16,2024-05-17,Proudly Paid For Polling,Amperville,Online,1000,LV,DGM,0.051,0.187,0.672,0,0.09
A,2024,2024-05-16,2024-05-17,Progressive Polling,Circuiton,Live caller,1000,Adults,None,0.09,0.392,0.448,0,0.07
A,2024,2024-05-16,2024-05-17,Dataland Daily,National,Online,200,Adults,None,0.21,0.255,0.305,0.065,0.165
A,2024,2024-05-17,2024-05-18,Dataland Daily,National,Online,200,Adults,None,0.255,0.23,0.305,0.045,0.165
A,2024,2024-05-16,2024-05-18,Synapse Strategies,Cerebrica,Online,1000,LV,None,0.319,0.292,0.238,0.067,0.084
A,2024,2024-05-16,2024-05-18,Proudly Paid For Polling,Voltagea,Online,1000,LV,DGM,0.146,0.362,0.422,0,0.07
A,2024,2024-05-18,2024-05-19,Dataland Daily,National,Online,200,Adults,None,0.285,0.185,0.305,0.065,0.16
A,2024,2024-05-17,2024-05-19,Big Dataland Surveys,Metaflux Realm,Online,10000,RV,None,0.382,0.236,0.269,0,0.113
A,2024,2024-05-17,2024-05-19,Synapse Strategies,Synapse Territories,Online,1000,LV,SSP,0.191,0.228,0.213,0.286,0.082
A,2024,2024-05-19,2024-05-20,Proudly Paid For Polling,Quantumridge,Online,1000,LV,CC,0.31,0.225,0.385,0,0.08
A,2024,2024-05-18,2024-05-20,Electropolis Elects,Electropolis,Live caller,1000,LV,None,0.4,0.23,0.288,0,0.082
A,2024,2024-05-20,2024-05-21,Dataland Register-Gazette,Byteforge Domain,Live caller,1500,LV,None,0.452,0.051,0.417,0,0.08
A,2024,2024-05-20,2024-05-21,Metaflux University,Byteforge Domain,IVR,1500,RV,None,0.422,0.054,0.375,0,0.149
A,2024,2024-05-20,2024-05-21,Dataland Register-Gazette,Electropolis,Live caller,1500,LV,None,0.363,0.203,0.345,0,0.089
A,2024,2024-05-20,2024-05-21,Dataland Daily,National,Online,200,Adults,None,0.24,0.175,0.36,0.085,0.14
A,2024,2024-05-19,2024-05-21,Cobolite Coalition Calling,Infoglen,IVR,2000,RV,CC,0.508,0.188,0.22,0,0.083
A,2024,2024-05-19,2024-05-21,Dataland Daily,National,Online,200,Adults,None,0.255,0.245,0.275,0.06,0.165
A,2024,2024-05-19,2024-05-21,Big Dataland Surveys,Synapse Territories,Online,10000,RV,None,0.189,0.253,0.21,0.245,0.103
A,2024,2024-05-21,2024-05-22,No Province Left Behind,Amperville,IVR,500,LV,None,0.068,0.168,0.71,0,0.054
A,2024,2024-05-21,2024-05-22,Proudly Paid For Polling,Amperville,Online,1000,LV,DGM,0.06,0.207,0.659,0,0.074
A,2024,2024-05-21,2024-05-22,Metaflux University,Binaryshire,IVR,1500,RV,None,0.819,0.01,0.076,0,0.095
A,2024,2024-05-21,2024-05-22,Dataland Daily,National,Online,200,Adults,None,0.28,0.15,0.365,0.07,0.135
A,2024,2024-05-20,2024-05-22,Metaflux University,Binaryshire,IVR,1500,RV,None,0.81,0.009,0.078,0,0.103
A,2024,2024-05-20,2024-05-22,Dataland Register-Gazette,Cortexia,Live caller,1500,LV,None,0.185,0.202,0.23,0.321,0.063
A,2024,2024-05-23,2024-05-24,Metaflux University,Infoglen,IVR,1500,RV,None,0.435,0.231,0.26,0,0.075
A,2024,2024-05-23,2024-05-24,Synapse Strategies,Neuronia,Online,1000,LV,SSP,0.033,0.2,0.093,0.631,0.043
A,2024,2024-05-23,2024-05-24,Proudly Paid For Polling,Voltagea,Online,1000,LV,PDAL,0.158,0.248,0.533,0,0.061
A,2024,2024-05-22,2024-05-24,Metaflux University,Infinitron Peninsula,IVR,1500,RV,None,0.571,0.154,0.193,0,0.081
A,2024,2024-05-22,2024-05-24,Dataland Daily,National,Online,200,Adults,None,0.215,0.235,0.315,0.07,0.165
A,2024,2024-05-24,2024-05-25,Proudly Paid For Polling,Circuit Confederation,Online,1000,LV,DGM,0.268,0.303,0.389,0,0.04
A,2024,2024-05-24,2024-05-25,Progressive Polling,Circuiton,Live caller,1000,LV,None,0.144,0.357,0.427,0,0.072
A,2024,2024-05-24,2024-05-25,Dataland Daily,National,Online,200,Adults,None,0.31,0.215,0.27,0.05,0.155
A,2024,2024-05-23,2024-05-25,Dataland Register-Gazette,Electropolis,Live caller,1500,LV,None,0.412,0.218,0.307,0,0.063
A,2024,2024-05-23,2024-05-25,Proudly Paid For Polling,Infinitron Peninsula,Online,1000,LV,PDAL,0.528,0.155,0.248,0,0.069
A,2024,2024-05-23,2024-05-25,Dataland Daily,National,Online,200,Adults,None,0.33,0.22,0.265,0.06,0.125
A,2024,2024-05-25,2024-05-26,Metaflux University,Metaflux Realm,IVR,1500,RV,None,0.519,0.159,0.251,0,0.071
A,2024,2024-05-24,2024-05-26,Dataland Register-Gazette,National,Live caller,1500,LV,None,0.307,0.209,0.356,0.057,0.07
A,2024,2024-05-24,2024-05-26,Cobolite Coalition Calling,Quantumridge,IVR,2000,RV,CC,0.273,0.214,0.416,0,0.098
A,2024,2024-05-26,2024-05-27,Proudly Paid For Polling,Electropolis,Online,1000,LV,CC,0.461,0.202,0.278,0,0.059
A,2024,2024-05-26,2024-05-27,No Province Left Behind,National,IVR,500,LV,None,0.29,0.274,0.3,0.064,0.072
A,2024,2024-05-25,2024-05-27,Progressive Polling,Circuiton,Live caller,1000,LV,None,0.153,0.337,0.454,0,0.056
A,2024,2024-05-25,2024-05-27,Cobolite Coalition Calling,Metaflux Realm,IVR,2000,RV,CC,0.514,0.143,0.25,0,0.094
A,2024,2024-05-25,2024-05-27,Dataland Daily,National,Online,200,Adults,None,0.245,0.175,0.35,0.065,0.165
A,2024,2024-05-27,2024-05-28,Dataland Register-Gazette,Cortexia,Live caller,1500,LV,None,0.176,0.195,0.237,0.309,0.084
A,2024,2024-05-27,2024-05-28,Dataland Daily,National,Online,200,Adults,None,0.175,0.24,0.395,0.065,0.125
A,2024,2024-05-26,2024-05-28,Metaflux University,Binaryshire,IVR,1500,RV,None,0.855,0.006,0.069,0,0.07
A,2024,2024-05-26,2024-05-28,Cobolite Coalition Calling,Infoglen,IVR,2000,RV,None,0.467,0.184,0.264,0,0.085
A,2024,2024-05-26,2024-05-28,Dataland Daily,National,Online,200,Adults,None,0.22,0.29,0.325,0.055,0.11
A,2024,2024-05-26,2024-05-28,Proudly Paid For Polling,Neuronia,Online,1000,LV,PDAL,0.054,0.181,0.118,0.591,0.056
A,2024,2024-05-27,2024-05-29,Progressive Polling,Cerebrica,Live caller,1000,LV,None,0.339,0.283,0.241,0.085,0.052
A,2024,2024-05-29,2024-05-30,Big Dataland Surveys,Circuit Confederation,Online,10000,RV,None,0.209,0.264,0.43,0,0.098
A,2024,2024-05-29,2024-05-30,Proudly Paid For Polling,Infoglen,Online,1000,LV,CC,0.448,0.236,0.26,0,0.056
A,2024,2024-05-29,2024-05-30,Dataland Daily,National,Online,200,Adults,None,0.28,0.215,0.355,0.05,0.1
A,2024,2024-05-29,2024-05-30,No Province Left Behind,National,IVR,500,LV,None,0.262,0.276,0.32,0.062,0.08
A,2024,2024-05-28,2024-05-30,Metaflux University,Byteforge Domain,IVR,1500,RV,None,0.449,0.07,0.395,0,0.086
